member_id,provider_id,servico,bairro,cidade,nota
,00000000-0000-4000-bfae-d60451266125,chaveiro,Perdizes,São Paulo,"Instalou a minha, bom preço; a Leroy Merlin indica ele para instalação; Giba é fera demais"
,00000000-0000-4000-bfae-d60451266125,chaveiro,Perdizes,São Paulo,Ótimo serviço e preço; indicado pela Leroy Merlin
,00000000-0000-4000-bfae-d60451266125,chaveiro,Perdizes,São Paulo,Indicado pela rede de confiança do Platô Perdizes.
,00000000-0000-4000-bfae-d60451266125,chaveiro,Perdizes,São Paulo,Indicado pela rede de confiança do Platô Perdizes.
,00000000-0000-4000-b59e-f2402920f11d,vidraceiro,Perdizes,São Paulo,Excelente.
,00000000-0000-4000-b59e-f2402920f11d,vidraceiro,Perdizes,São Paulo,Orçamento para terraço de 140m; mesma faixa de preços de outros dois lugares
,00000000-0000-4000-b59e-f2402920f11d,vidraceiro,Perdizes,São Paulo,Faz a medição/orçamento do fechamento da sacada
,00000000-0000-4000-b59e-f2402920f11d,vidraceiro,Perdizes,São Paulo,"A mais em conta entre 5 empresas; recomendação pessoal da Amélia; proposta com 12mm e persiana, opção premium melhor que sistema de roldanas"
,00000000-0000-4000-b449-02a418c3f7e0,vidraceiro,Perdizes,São Paulo,Fizeram o varal com eles; muito bom; tem varal automático; ótimo atendimento; também fazem varal sob medida.
,00000000-0000-4000-b449-02a418c3f7e0,vidraceiro,Perdizes,São Paulo,Fiz as redes de proteção e varal com eles
,00000000-0000-4000-b449-02a418c3f7e0,vidraceiro,Perdizes,São Paulo,Tinham o melhor preço na época que instalei
,00000000-0000-4000-b449-02a418c3f7e0,vidraceiro,Perdizes,São Paulo,Realmente mto bons!
,00000000-0000-4000-bc33-ac63d13cfd04,marceneiro,Perdizes,São Paulo,"Muito querido, atende todas as solicitações, responde prontamente, atendimento nota 10; fechou móveis planejados para apto de 170m2; atendimento deles é tudo de bom; sempre ouviu falar bem da Kitchens"
,00000000-0000-4000-bc33-ac63d13cfd04,marceneiro,Perdizes,São Paulo,"Sensacional, ajuda demais no projeto; está conduzindo a marcenaria do outro apto e é ótimo"
,00000000-0000-4000-bc33-ac63d13cfd04,marceneiro,Perdizes,São Paulo,"Está conduzindo a marcenaria do outro apto, é ótimo"
,00000000-0000-4000-bc33-ac63d13cfd04,marceneiro,Perdizes,São Paulo,Indicado pela rede de confiança do Platô Perdizes.
,00000000-0000-4000-b773-3bc50c1dfbf6,reforma,Perdizes,São Paulo,"Empreiteiro, equipe ótima; deixa a par de tudo; é justo nos valores; sexto sentido de zero stress na obra"
,00000000-0000-4000-b773-3bc50c1dfbf6,reforma,Perdizes,São Paulo,Empreiteiro justo nos valores; deixa a par de tudo
,00000000-0000-4000-b773-3bc50c1dfbf6,reforma,Perdizes,São Paulo,"Empreiteiro recomendado, prevê zero stress na obra"
,00000000-0000-4000-b773-3bc50c1dfbf6,reforma,Perdizes,São Paulo,Empreiteiro recomendado
,00000000-0000-4000-bf46-348191c17712,confeitaria,Perdizes,São Paulo,Faz o bolo de coco mais incrível experimentado nos últimos tempos.
,00000000-0000-4000-bf46-348191c17712,confeitaria,Perdizes,São Paulo,Faz bolos gelados sensacionais; é uma delícia mesmo; as meninas estão viciadas.
,00000000-0000-4000-bf46-348191c17712,confeitaria,Perdizes,São Paulo,"É um espaço bom para festas, bem legal mesmo"
,00000000-0000-4000-bf46-348191c17712,confeitaria,Perdizes,São Paulo,Indicado pela rede de confiança do Platô Perdizes.
,00000000-0000-4000-b5ee-44e5c1a701be,tapeceiro,Perdizes,São Paulo,Indicado de olhos fechados; já fez do outro apto e de mais pessoas da família; custo benefício muito bom.
,00000000-0000-4000-b5ee-44e5c1a701be,tapeceiro,Perdizes,São Paulo,Ele e muito bom; custo beneficio que nao encontro igual
,00000000-0000-4000-b5ee-44e5c1a701be,tapeceiro,Perdizes,São Paulo,Já fez a cabeceira de vários aptos; custo benefício excelente
,00000000-0000-4000-b5ee-44e5c1a701be,tapeceiro,Perdizes,São Paulo,Indicado pela rede de confiança do Platô Perdizes.
,00000000-0000-4000-b70e-7e1d19f97acf,aquecedor a gás,Perdizes,São Paulo,Instalei de ilha; achei bem caprichosos
,00000000-0000-4000-b70e-7e1d19f97acf,aquecedor a gás,Perdizes,São Paulo,"Gostei muito; instalaram varios eletros, inclusive a coifa de ilha; muito caprichosos"
,00000000-0000-4000-b70e-7e1d19f97acf,aquecedor a gás,Perdizes,São Paulo,Foram muito caprichosos e preço bom
,00000000-0000-4000-b70e-7e1d19f97acf,aquecedor a gás,Perdizes,São Paulo,Gostei muito da LLA. Eles foram bem cuidadosos e foi o melhor preço que encontrei nas pesquisas
,00000000-0000-4000-bd00-89c31a3e642f,mudança,Perdizes,São Paulo,Fabio Xavier: tenho de içamento com preço adequado
,00000000-0000-4000-bd00-89c31a3e642f,mudança,Perdizes,São Paulo,"Usamos essa duas vezes, indicação do nosso marceneiro, deu tudo certo"
